index,title,label
0,github action description wrong,actions
1,blank page loading doc github com,engineering
2,surani,invalid
3,surani,invalid
4,precise description dependabot gradle support,content
5,,invalid
6,zendesk wiki private repo edited user read triage access,help wanted
7,include information regarding let encrypt character limitation cn,content
8,http github com nodejs node blob cdf bd efe fc ea clang format,invalid
9,update dependabot default time documentation,content
10,relationship user status team review assignment documented,content
11,consideration code search say need include search term seem true,content
12,change flag case,Codespaces
13,query variable pane graphql explorer wipe content unexpectedly,bug
14,incorrect activity type listed discussion event action,content
15,zh cn translation error,content
16,rename default branch github github,content
17,bao gi covid,invalid
18,ng ng,content
19,document version feather icon use,actions
20,,invalid
21,codeql status check name wrong,content
22,incorrect example committablebranch input objec,content
23,make ghsa cve publication distinct,content
24,expression function contains array example work,actions
25,link conditional request broken,content
26,maredroudina gmail com,invalid
27,essential feature github action md explain download artifact workflow run,content
28,chinese version github action quickstart error,triage
29,contributing md missing single character parenthesis fix syntax atom doc link,content
30,self review md fix link localization checklist,content
31,doc page display html source code snippet instead rendering html,engineering
32,unsubscribe art positioning appears stale,content
33,pinned issue http github com github doc issue stale,content
34,fix typographical error contributing md file,content
35,improve documentation project board keyboard shortcut,good first issue
36,update blocking user personal account content,good first issue
37,multi o terminal reusable seems incorrect,engineering
38,associating text editor missing step,content
39,typo support github runner page zh doc typo,content
40,invalid expression example,actions
41,traduction,invalid
42,http facebook com laistcy hermosa,invalid
43,clarify identifying authorizing user github apps doc bit,content
44,rest reference check clarification conclusion stale,content
45,hi guy,triage
46,missing ci activity notification reason,content
47,edx br br twitter br br nbsp twitter url twitter url br br facebook br br nbsp facebook url facebook url br br linkedin br br nbsp linkedin url linkedin url br br,engineering
48,feature request,invalid
49,discrepancy gh auth login doc,content
50,pull request template outdated self review link,content
51,nbsp http click pipaffiliates com amp th amp br,triage
52,release note fix typo align yml properly,content
53,remove typo github hosted runner page,content
54,http ad google com aw account ocid hl en uscid euid cmpninfo bc ba dd enableallbrowsers mobile,invalid
55,seogoddess,invalid
56,fix link rest repo webhooks,content
57,properly escape value github env file,actions
58,pre receive hook github via,content
59,document character limit label,content
60,mention syntax multi line footnote text named footnote,content
61,href link point non existent id,content
62,direction creating new ssh key inconsistent fail run documented,triage
63,clarify permission level needed access secret,actions
64,caught webhook payload exist error using workflow run,actions
65,semoga lebih baik,triage
66,use real example api code example,content
67,pr template reference non existent anchor,content
68,fix incorrect alt attribute creating pull request md,content
69,make contribution button v includes,ecosystem
70,changed organization setting sidebar block user,content
71,code block showing issue comment pr v issue differentiation appearing correctly doc,actions
72,provide detailed instruction check ssh agent window openssh,content
73,space added dot,Docs open source board
74,input context listed context page,content
75,github action yaml python version example use string float,content
76,command article pull latest change branch newly made repo broken,content
77,explicit mention use baptiste preview,content
78,documenting error response graphql api,content
79,reference page github markdown flavor reference footnote,content
80,clarify content ignoring file,help wanted
81,couple error issue event type page,content
82,update configuring nameservers using administrative shell include note,riteshsp2000
83,zendesk squash merge mention commit signing article incorrect,help wanted
84,contribution merging account,help wanted
85,building action add note dockerfile capitalization,actions
86,update description view blocked user personal account,content
87,missing documentation head ref force pushed issue event,content
88,wrong create commit comment link,content
89,npm documentation site linked doc github com,content
90,improve warning handing write level right regard repo secret,actions
91,find team clearly documented yet,content
92,broken link,invalid
93,redundant section pr fork learn github action event trigger workflow,actions
94,broken integration triage new pull request action,content
95,developer api footer link lead homepage,content
96,github action yaml placed workflow directory workflow building testing python,actions
97,use html kbd tag keyboard information,content
98,github action example canceling progress job run concurrency group lead confusing behavior,content
99,language picker update content homepage,engineering
100,internal footer link lead selected translation page,engineering
101,rsese testing something please ignore,content
102,kusmie,invalid
103,testing rsese,content
104,inconsistent markup reading link,content
105,fix doc generating migration archive,content
106,create account code,invalid
107,refine warning using powershell utf,actions
108,bump download limit deleting public package,content
109,improve translation verifying approving domain organization md,content
110,object property name unexpectedly translated,content
111,elaborate concurrency github action,actions
112,localization yaml key api query etc translated,content
113,improve table understanding search syntax exclude certain result,content
114,provide information user,invalid
115,tag list item also written non list item,actions
116,gustan los archivos con virus,invalid
117,broken integration triage new issue comment action,content
118,broken table translation table conditional branching ifversion,content
119,add information referencing issue discussion pr,content
120,add documentation update github action workflow,content
121,mention gh color mode directly uploaded image,content
122,tammavut gmail com,invalid
123,ayser beat,invalid
124,bug,invalid
125,update cff type citation documentation,content
126,add warning download repository archive fails empty repository,content
127,github command palette md missing repository,content
128,oidc aws example appear valid json,content
129,language menu hidden main part scrolled,engineering
130,macos always properly capitalized,content
131,content viewing pt impaired mobile device,content
132,deployment section github action cannot expand,engineering
133,missing documentation github apps environment permission,content
134,additional totp option,content
135,oidc cloud specific doc missing environment variable,actions
136,inconsistency security analysis feature toggle doc,content
137,inconsistency scim support,content
138,puzzle zebra,invalid
139,java,engineering
140,mgb,invalid
141,btcbrowser,invalid
142,escaping char workflow command,actions
143,ju,invalid
144,update gh cli step adding new ssh key github account,content
145,job run documentation seems incomplete,content
146,document object element dereference syntax,actions
147,hello question data build page want ask typescript definition reference http github com github doc blob main content action reference workflow syntax github action md,invalid
148,new layout,invalid
149,thanks opening issue github doc team member give feedback soon meantime please check contributing guideline http github com github doc blob main contributing md,invalid
150,doc correct id token reference,actions
151,add row create edit delete label right overview permission level table,Docs open source board
152,improvement duplicate content description private parameter update repo endpoint,good first issue
153,aws oidc condition codeblock formatted incorrectly,content
154,link markdown broken article resolving merge conflict github,content
155,legend,invalid
156,improvement reverting pull request,good first issue
157,use correct capitalization powershell,content
158,listed limitation reusable workflow incomplete,content
159,developer,invalid
160,composite example run window,actions
161,recommend gradle gradle build action invoking gradle github action,content
162,ssh key fingerprint listed ecdsa ed working,content
163,style update rest api doc intro,ecosystem
164,improvement provide description code scanning permission custom role doc,good first issue
165,unlock email,content
166,update gh repo create documentation,content
167,zagraj ze mn gr coin master,invalid
168,sk suraj,invalid
169,partner owned product documentation,invalid
170,github desktop add delete tag functionality,content
171,ekme,invalid
172,incorrect description github workspace environment variable,actions
173,github desktop add new working fork flow,content
174,gmalex gmail com,invalid
175,github desktop split diffs discarding line feature,content
176,chale un vistazo kiwi browser fast quiet,invalid
177,add clear instruction use git chromeos device,content
178,link resolving merge conflict github broken,content
179,github desktop stashing change feature,content
180,rendering issue configuring openid connect google cloud platform,content
